feature_set,model,fpr,tpr,auc,n
DSP,Logistic,0.01292929292929293,0.1305229936880072,0.6278711369784409,6911
DSP,Logistic,0.013333333333333334,0.1305229936880072,0.6278711369784409,6911
DSP,Logistic,0.013333333333333334,0.13097385031559963,0.6278711369784409,6911
DSP,Logistic,0.013737373737373737,0.13097385031559963,0.6278711369784409,6911
DSP,Logistic,0.013737373737373737,0.1318755635707845,0.6278711369784409,6911
DSP,Logistic,0.014141414141414142,0.1318755635707845,0.6278711369784409,6911
DSP,Logistic,0.014141414141414142,0.13232642019837693,0.6278711369784409,6911
DSP,Logistic,0.014545454545454545,0.13232642019837693,0.6278711369784409,6911
DSP,Logistic,0.014545454545454545,0.13322813345356177,0.6278711369784409,6911
DSP,Logistic,0.01494949494949495,0.13322813345356177,0.6278711369784409,6911
DSP,Logistic,0.01494949494949495,0.13954012623985573,0.6278711369784409,6911
DSP,Logistic,0.015353535353535354,0.13954012623985573,0.6278711369784409,6911
DSP,Logistic,0.015353535353535354,0.14292155094679893,0.6278711369784409,6911
DSP,Logistic,0.01575757575757576,0.14292155094679893,0.6278711369784409,6911
DSP,Logistic,0.01575757575757576,0.1600541027953111,0.6278711369784409,6911
DSP,Logistic,0.01616161616161616,0.1600541027953111,0.6278711369784409,6911
DSP,Logistic,0.01616161616161616,0.17177637511271415,0.6278711369784409,6911
DSP,Logistic,0.016565656565656565,0.17177637511271415,0.6278711369784409,6911
DSP,Logistic,0.016565656565656565,0.1729035166816952,0.6278711369784409,6911
DSP,Logistic,0.01696969696969697,0.1729035166816952,0.6278711369784409,6911
DSP,Logistic,0.01696969696969697,0.18394950405770966,0.6278711369784409,6911
DSP,Logistic,0.017373737373737375,0.18394950405770966,0.6278711369784409,6911
DSP,Logistic,0.017373737373737375,0.18935978358881875,0.6278711369784409,6911
DSP,Logistic,0.017777777777777778,0.18935978358881875,0.6278711369784409,6911
DSP,Logistic,0.017777777777777778,0.19724977457168621,0.6278711369784409,6911
DSP,Logistic,0.01818181818181818,0.19724977457168621,0.6278711369784409,6911
DSP,Logistic,0.01818181818181818,0.20198376916140667,0.6278711369784409,6911
DSP,Logistic,0.018585858585858588,0.20198376916140667,0.6278711369784409,6911
DSP,Logistic,0.018585858585858588,0.21055004508566275,0.6278711369784409,6911
DSP,Logistic,0.01898989898989899,0.21055004508566275,0.6278711369784409,6911
DSP,Logistic,0.01898989898989899,0.21145175834084762,0.6278711369784409,6911
DSP,Logistic,0.019393939393939394,0.21145175834084762,0.6278711369784409,6911
DSP,Logistic,0.019393939393939394,0.2166366095581605,0.6278711369784409,6911
DSP,Logistic,0.019797979797979797,0.2166366095581605,0.6278711369784409,6911
DSP,Logistic,0.019797979797979797,0.21776375112714158,0.6278711369784409,6911
DSP,Logistic,0.020202020202020204,0.21776375112714158,0.6278711369784409,6911
DSP,Logistic,0.020202020202020204,0.2202434625788999,0.6278711369784409,6911
DSP,Logistic,0.020606060606060607,0.2202434625788999,0.6278711369784409,6911
DSP,Logistic,0.020606060606060607,0.2360234445446348,0.6278711369784409,6911
DSP,Logistic,0.02101010101010101,0.2360234445446348,0.6278711369784409,6911
DSP,Logistic,0.02101010101010101,0.23647430117222723,0.6278711369784409,6911
DSP,Logistic,0.021414141414141413,0.23647430117222723,0.6278711369784409,6911
DSP,Logistic,0.021414141414141413,0.24504057709648333,0.6278711369784409,6911
DSP,Logistic,0.02181818181818182,0.24504057709648333,0.6278711369784409,6911
DSP,Logistic,0.02181818181818182,0.24887285843101895,0.6278711369784409,6911
DSP,Logistic,0.022222222222222223,0.24887285843101895,0.6278711369784409,6911
DSP,Logistic,0.022222222222222223,0.25743913435527505,0.6278711369784409,6911
DSP,Logistic,0.022626262626262626,0.25743913435527505,0.6278711369784409,6911
DSP,Logistic,0.022626262626262626,0.25766456266907123,0.6278711369784409,6911
DSP,Logistic,0.02303030303030303,0.25766456266907123,0.6278711369784409,6911
DSP,Logistic,0.02303030303030303,0.2603697024346258,0.6278711369784409,6911
DSP,Logistic,0.023434343434343436,0.2603697024346258,0.6278711369784409,6911
DSP,Logistic,0.023434343434343436,0.2644274120829576,0.6278711369784409,6911
DSP,Logistic,0.02383838383838384,0.2644274120829576,0.6278711369784409,6911
DSP,Logistic,0.02383838383838384,0.2657799819657349,0.6278711369784409,6911
DSP,Logistic,0.024242424242424242,0.2657799819657349,0.6278711369784409,6911
DSP,Logistic,0.024242424242424242,0.26848512173128947,0.6278711369784409,6911
DSP,Logistic,0.024646464646464646,0.26848512173128947,0.6278711369784409,6911
DSP,Logistic,0.024646464646464646,0.2745716862037872,0.6278711369784409,6911
DSP,Logistic,0.025050505050505052,0.2745716862037872,0.6278711369784409,6911
DSP,Logistic,0.025050505050505052,0.2756988277727683,0.6278711369784409,6911
DSP,Logistic,0.025454545454545455,0.2756988277727683,0.6278711369784409,6911
DSP,Logistic,0.025454545454545455,0.2768259693417493,0.6278711369784409,6911
DSP,Logistic,0.02585858585858586,0.2768259693417493,0.6278711369784409,6911
DSP,Logistic,0.02585858585858586,0.284941388638413,0.6278711369784409,6911
DSP,Logistic,0.026262626262626262,0.284941388638413,0.6278711369784409,6911
DSP,Logistic,0.026262626262626262,0.2871956717763751,0.6278711369784409,6911
DSP,Logistic,0.02666666666666667,0.2871956717763751,0.6278711369784409,6911
DSP,Logistic,0.02666666666666667,0.28764652840396754,0.6278711369784409,6911
