subject_id,session_num,run_num,trial_idx,pre_pow_05_3hz,pre_pow_8_12hz,post_pow_05_3hz,post_pow_8_12hz,delta_pow_05_3hz,delta_pow_8_12hz
BAP001,2,3,14,,,0.0009309059018187819,1.4837391313982548e-06,,
BAP001,2,3,15,,,0.059534632495623824,0.0005407145337522246,,
BAP001,2,3,16,,,0.002741745378536806,3.557976393409767e-05,,
BAP001,2,3,17,,,0.037171558824068265,0.0002644314083999467,,
BAP001,2,3,18,,,0.048223340633171824,0.0004009538999969279,,
BAP001,2,3,19,,,0.08057247498934868,0.0009696211972151357,,
BAP001,2,3,20,,,0.001978700240225429,1.2476315581342532e-05,,
BAP001,2,3,21,,,0.06555439094625168,0.0006419297279883346,,
BAP001,2,3,22,,,0.005960480365015885,2.0239518248307913e-05,,
BAP001,2,3,23,,,0.09373067066112603,0.00018569519586750482,,
BAP001,2,3,24,,,0.040912854777422514,0.00034464147026103185,,
BAP001,2,3,25,,,0.0034811352101982544,4.855632306528616e-06,,
BAP001,2,3,26,,,0.06480297358143826,0.00021444308316963888,,
BAP001,2,3,27,,,0.002273237913308928,2.2104238772538166e-05,,
BAP001,2,3,28,,,0.0061967388231809585,5.972277845560061e-05,,
BAP001,2,3,29,,,0.015804649005823183,1.604974168001737e-05,,
BAP001,2,3,30,,,0.039517272068714596,0.00010032282785824798,,
BAP001,2,4,1,,,0.0624896248078725,0.0004849291937705448,,
BAP001,2,4,2,,,0.06291380781333421,0.00034792729378194077,,
BAP001,2,4,3,,,0.03713547677543692,0.0004485985292683152,,
BAP001,2,4,4,,,0.042310040272543786,0.0005496991290589981,,
BAP001,2,4,5,,,0.0558960336697976,0.00021350984156760046,,
BAP001,2,4,6,,,0.0011522578357911865,1.1388514008862998e-05,,
BAP001,2,4,7,,,0.016725410570115527,1.61722487528625e-05,,
BAP001,2,4,8,,,0.013853311161539938,5.8579275629351126e-05,,
BAP001,2,4,9,,,0.014327418727858424,1.6614791440099774e-05,,
BAP001,2,4,10,,,0.012990760323930022,2.364601443821848e-05,,
BAP001,2,4,11,,,0.28945416335109775,0.00013595332047510524,,
BAP001,2,4,12,,,0.051869365767938935,0.0014286733412395174,,
BAP001,2,4,13,,,0.0023824705803145115,2.08328514175445e-05,,
BAP001,2,4,14,,,0.004302652906671501,1.2935655712428928e-05,,
BAP001,2,4,15,,,0.06992168596282931,0.0006285060861788174,,
BAP001,2,4,16,,,0.004128720608338707,1.6999535435500683e-05,,
BAP001,2,4,17,,,0.05064697124011646,0.0001908441264929156,,
BAP001,2,4,18,,,0.003329628762610409,3.198373195354892e-05,,
BAP001,2,4,19,,,0.009767634635757964,2.533604090485083e-05,,
BAP001,2,4,20,,,0.01085321573437437,5.129631440995665e-06,,
BAP001,2,4,21,,,0.011341099307353457,1.397242192124069e-05,,
BAP001,2,4,22,,,0.012260556154381336,3.632762247829322e-05,,
BAP001,2,4,23,,,0.009360093987436775,2.0377069009039458e-05,,
BAP001,2,4,24,,,0.19386537277816518,0.00015460596320289303,,
BAP001,2,4,25,,,0.012608771021751463,7.41083395863537e-05,,
BAP001,2,4,26,,,0.054672025693707604,0.00043273162654550954,,
BAP001,2,4,27,,,0.01729241106006062,0.0003782200623835481,,
BAP001,2,4,28,,,0.001868964809094745,7.468183689580265e-06,,
BAP001,2,4,29,,,0.18450288677938204,0.00026394765463046,,
BAP001,2,4,30,,,0.022605139884014844,0.0010645169091026885,,
BAP001,2,5,1,,,0.03409876504139436,0.00022804167580084257,,
BAP001,2,5,2,,,0.003499259197767821,2.8425023387405327e-05,,
BAP001,2,5,3,,,0.011265877092865386,1.178711171577514e-05,,
BAP001,2,5,4,,,0.009102866495164652,1.2151807444636363e-05,,
BAP001,2,5,5,,,0.15980504580949734,0.0003731945886876907,,
BAP001,2,5,6,,,0.004399666698923277,3.5175689642805933e-06,,
BAP001,2,5,7,,,0.013807447333721759,6.482737144798345e-05,,
BAP001,2,5,8,,,0.011380316409654975,5.822193335533431e-05,,
BAP001,2,5,9,,,0.168090905887836,0.00010068269265440129,,
BAP001,2,5,10,,,0.012653829866004388,2.57820469564803e-05,,
BAP001,2,5,11,,,0.01788810017244874,4.605496117914682e-05,,
BAP001,2,5,12,,,0.00632981211158434,9.179333470857381e-06,,
BAP001,2,5,13,,,0.011356975331093951,2.5712384646181687e-05,,
BAP001,2,5,14,,,0.5071483677002526,0.00037478956683287794,,
BAP001,2,5,15,,,0.07919342650223725,0.0004607893912094715,,
BAP001,2,5,16,,,0.024307151219001184,4.401320642251575e-05,,
BAP001,2,5,17,,,0.00020499677589054576,2.590293200826232e-08,,
BAP001,2,5,18,,,0.0069719236987865855,1.893677483355457e-05,,
BAP001,2,5,19,,,0.08513634542879778,0.0009076768857056322,,
BAP001,2,5,20,,,0.00801731249778332,2.021992898542235e-05,,
BAP001,2,5,21,,,0.03521533128808157,4.555722411877526e-05,,
BAP001,2,5,22,,,0.04513781712090935,0.0006274400829231423,,
BAP001,2,5,23,,,0.03711995509547366,0.00027246707916404357,,
BAP001,2,5,24,,,0.024825936525896014,0.00043450886982625785,,
BAP001,2,5,25,,,0.06326913977590193,0.0005579852629370599,,
BAP001,2,5,26,,,0.004619905433016946,1.123135999928329e-05,,
BAP001,2,5,27,,,0.10560790367791614,0.0005222688042471501,,
BAP001,2,5,28,,,0.04720338883921191,0.0002293777189760958,,
BAP001,2,5,29,,,0.07477142837098723,0.000395621280674513,,
BAP001,2,5,30,,,0.2419736274906068,0.0010371121869676878,,
BAP001,3,4,1,,,0.008018866810291474,1.36167105934451e-05,,
BAP001,3,4,2,,,0.011458850202265706,1.4742855447866835e-05,,
BAP001,3,4,3,,,0.11229207259225271,0.0003386706008271083,,
BAP001,3,4,4,,,0.013349251074153357,0.0004822909362638538,,
BAP001,3,4,5,0.0,0.0,0.0007510171621217761,1.2050728734825713e-05,0.0007510171621217761,1.2050728734825713e-05
BAP001,3,4,6,,,0.014530924967628093,5.862548917026801e-05,,
BAP001,3,4,7,,,0.011703711798964468,3.97857259727872e-05,,
BAP001,3,4,9,,,0.028281053277961644,7.716399723421877e-05,,
BAP001,3,4,10,,,0.0030453724741208686,3.112164854869418e-05,,
BAP001,3,4,11,,,0.12739476437389768,0.0004351094591884993,,
BAP001,3,4,12,,,0.00894793328271976,1.7620792582896836e-05,,
BAP001,3,4,13,,,0.030756801988360588,0.00020731126477485496,,
BAP001,3,4,14,0.0,0.0,0.0029553564747627154,1.1020371972236419e-05,0.0029553564747627154,1.1020371972236419e-05
BAP001,3,4,15,,,0.006091042655329947,6.536663949703947e-05,,
BAP001,3,4,16,,,0.12682748070033775,0.000315030683803529,,
BAP001,3,4,17,,,0.0017037174776018081,1.5949829886108793e-05,,
BAP001,3,4,18,,,0.02501366441653668,0.00022244974311553018,,
BAP001,3,4,19,,,0.009149497914514176,1.750516535707508e-05,,
BAP001,3,4,20,,,0.25758840738638955,0.00046779757803909233,,
BAP001,3,4,21,,,0.10454115445085738,0.0012163468271911447,,
BAP001,3,4,22,0.0,7.258371658208565e-07,0.002085596453965607,2.613129085687176e-05,0.002085596453965607,2.5405453691050906e-05
BAP001,3,4,23,,,0.048985453753719696,0.0001778609305533508,,
BAP001,3,4,24,0.0,0.0,0.008051241875776027,3.650800587722759e-05,0.008051241875776027,3.650800587722759e-05
BAP001,3,4,25,0.0,5.127454117388494e-07,0.02325990444757715,0.00021528944283459803,0.02325990444757715,0.00021477669742285917
BAP001,3,4,26,,,0.008109123941528237,0.0004106714236550215,,
BAP001,3,4,27,,,0.0044357216187852115,4.681689895064231e-05,,
BAP001,3,4,28,,,0.014757802306052314,5.0416473555296044e-05,,
BAP001,3,4,29,0.0,1.6788332377619302e-07,0.05591328437598908,9.61568714846705e-05,0.05591328437598908,9.59889881608943e-05
BAP001,3,4,30,,,0.050119173604907016,0.0010290354963736412,,
BAP003,2,4,1,,,0.02452479190103174,0.00012213504025872642,,
BAP003,2,4,2,,,0.00030490651680236704,3.1881111946823014e-07,,
BAP003,2,4,3,0.0,0.0,0.021684924557058283,0.00010073397958854099,0.021684924557058283,0.00010073397958854099
BAP003,2,4,4,,,0.010008959870431672,7.756060162379826e-05,,
BAP003,2,4,5,0.0,0.0,0.009854825098595662,5.0201660553517554e-05,0.009854825098595662,5.0201660553517554e-05
BAP003,2,4,6,,,0.0028379089764036846,7.115100580461203e-06,,
BAP003,2,4,7,0.0,1.3924476216717595e-34,0.004219209384060764,2.2962713458680996e-06,0.004219209384060764,2.2962713458680996e-06
BAP003,2,4,8,,,0.01334372927358129,6.231241830020225e-05,,
BAP003,2,4,9,,,0.0012887110504826908,2.6256590699332924e-06,,
BAP003,2,4,10,,,0.0015480502869401535,4.8696068388904234e-06,,
BAP003,2,4,11,,,0.0007048091286235671,5.379991181012872e-06,,
BAP003,2,4,12,,,0.00024069405087211583,7.148425016714955e-08,,
BAP003,2,4,13,,,0.03159509627702809,0.00012975417682969855,,
BAP003,2,4,14,,,0.00041398233864063633,7.08829160057754e-06,,
BAP003,2,4,15,,,0.010192854626036196,2.59000706763669e-06,,
BAP003,2,4,16,0.0,0.0,0.0015294236517072702,5.103250453190476e-06,0.0015294236517072702,5.103250453190476e-06
BAP003,2,4,17,,,0.13738841850087014,0.00023978429527174037,,
BAP003,2,4,18,,,0.0029209716587815164,1.4327192381760511e-05,,
BAP003,2,4,19,,,0.007600352632008148,0.00011207023869944568,,
BAP003,2,4,20,,,0.001266125657970785,1.1777974687992627e-05,,
BAP003,2,4,21,0.0,2.701432983995356e-34,0.005162410380407179,2.958440367550718e-05,0.005162410380407179,2.958440367550718e-05
BAP003,2,4,22,0.0,1.3924476216717595e-34,0.0033609247601077384,1.890963430573534e-05,0.0033609247601077384,1.890963430573534e-05
BAP003,2,4,23,,,0.014537149273129886,0.00010282634963273163,,
BAP003,2,4,24,,,0.003170443725706356,8.039405303449594e-06,,
BAP003,2,4,25,,,0.03061124011111903,1.5410697340037992e-05,,
BAP003,2,4,26,,,0.06359169787362698,0.00011184659075739501,,
BAP003,2,4,27,,,0.06721985845424673,0.0002569263182532731,,
BAP003,2,4,28,,,0.004678285191796339,6.62569987706824e-06,,
BAP003,2,4,29,,,0.005314079003226566,6.774408552574181e-06,,
BAP003,2,4,30,,,0.0038571750360744993,9.927828772990502e-06,,
BAP003,3,5,1,,,0.004487794609806383,7.517924810259519e-06,,
BAP003,3,5,2,,,0.03522710090350925,0.00015064968764713768,,
BAP003,3,5,3,,,0.04070873360516015,4.029626453178332e-05,,
BAP003,3,5,4,,,0.009327722388685546,1.4573940579696051e-05,,
BAP003,3,5,5,,,0.035736447196898245,5.7840680030230764e-05,,
BAP003,3,5,6,,,0.0031554696782555044,9.078041668111293e-06,,
BAP003,3,5,7,,,0.01603432445162204,5.849066546469208e-06,,
BAP003,3,5,8,,,0.00012033788462719486,1.981379171802553e-05,,
BAP003,3,5,9,,,0.013235269673538292,8.715233530661794e-06,,
BAP003,3,5,10,,,0.0075438237663712215,1.1207743515575235e-05,,
BAP003,3,5,11,,,0.022309353146004022,0.000665155040425442,,
BAP003,3,5,12,,,0.01136525654202646,1.3305265959354488e-06,,
BAP003,3,5,13,,,0.010114935676076287,7.152561457540847e-06,,
BAP003,3,5,14,,,0.20370422161989887,0.00038268222954303163,,
BAP003,3,5,15,,,0.02751664979651404,0.00046948462089743714,,
BAP003,3,5,16,,,0.028504339732620208,0.0004994735421824307,,
BAP003,3,5,17,,,0.02275007022597584,0.00011299970703916289,,
BAP003,3,5,18,,,0.007875949079841117,7.476489393242265e-06,,
BAP003,3,5,19,,,0.009451416466659363,0.00022940693929700813,,
BAP003,3,5,20,,,0.31246015359581997,0.0001652242216975898,,
BAP003,3,5,21,,,0.007730416365743179,9.149693652309863e-06,,
BAP003,3,5,22,,,0.01211601686404461,8.933373473942355e-06,,
BAP003,3,5,23,,,0.02157630071168682,0.00019206886129797645,,
BAP003,3,5,24,,,0.005266581579695581,1.3912544146457368e-05,,
BAP003,3,5,26,,,0.012988557488394867,9.41355122878996e-06,,
BAP003,3,5,27,,,0.012705550304076475,9.441300232942945e-06,,
