is_high_grip,freq_hz,mean_psd,se_psd,n_trials
True,13.2812,3.0058968808265534e-06,1.382730721938351e-07,7037
True,13.6719,2.8018460365377945e-06,1.3002224924617316e-07,7037
True,14.0625,2.669518046792372e-06,1.1915363702993947e-07,7037
True,14.4531,2.5053031217525754e-06,1.1193288666924733e-07,7037
True,14.8438,2.3806897294598998e-06,1.0847868642912087e-07,7037
True,15.2344,2.294666687758703e-06,1.0329438316647711e-07,7037
True,15.625,2.1856964181752804e-06,9.680119822610137e-08,7037
True,16.0156,2.0265610977528022e-06,9.164812691235366e-08,7037
True,16.4062,1.9334661609920254e-06,8.725309001083072e-08,7037
True,16.7969,1.8546880725937082e-06,8.37403095299128e-08,7037
True,17.1875,1.8020942942453883e-06,8.127921972378765e-08,7037
True,17.5781,1.765339950491356e-06,8.017461646706743e-08,7037
True,17.9688,1.7120768245403044e-06,7.88276289523099e-08,7037
True,18.3594,1.6008062378243209e-06,7.030456412435538e-08,7037
True,18.75,1.5516348847181332e-06,6.867271145893954e-08,7037
True,19.1406,1.536465722928502e-06,6.64478299093693e-08,7037
True,19.5312,1.4697741229050854e-06,6.270571388304884e-08,7037
True,19.9219,1.428043557356348e-06,6.073474512775739e-08,7037
